arm,win,n,auc3,auc1,ll,ece,corr_hn,trees
A 騎手のみ,T2,663,0.7142474954462659,0.7728473394695277,0.5373008847236633,0.03902512941605005,0.17068060809830266,291.3333333333333
B 調教師のみ,T2,663,0.705492941712204,0.7072871847938564,0.5534920692443848,0.07058944907123685,0.2053799454427454,201.33333333333334
C 騎手+調教師,T2,663,0.7394694899817851,0.7925766570448233,0.5215234160423279,0.03797625889650478,0.1848280115865254,431.6666666666667
E 新馬で使える情報,T2,663,0.7484061930783241,0.7832634388105223,0.5068184733390808,0.02174155188227131,0.2121235497309321,803.0
D 現行131列,T2,663,0.7432604735883425,0.7846522520559882,0.5130312442779541,0.024974950792922505,0.14099666332223673,1233.6666666666667
D' 131列−馬番ノイズ,T2,663,0.7397199453551911,0.773732367518109,0.5177559852600098,0.041955822980421886,0.1732568716302836,1269.3333333333333
M 市場(確定人気),T2,663,0.837733378870674,0.8553047219650346,0.4383481442928314,0.0687502775043474,,0.0
A 騎手のみ,T3,1163,0.7420798304851158,0.7839954163483575,0.5179948210716248,0.035730706543044236,0.05030200268100607,721.3333333333334
B 調教師のみ,T3,1163,0.6952543584619626,0.6956237040270653,0.49843674898147583,0.027484402059557787,0.10152383902473079,397.6666666666667
C 騎手+調教師,T3,1163,0.7609909040793825,0.7925897631779985,0.47873154282569885,0.04990339960399631,0.061584758618046916,603.3333333333334
E 新馬で使える情報,T3,1163,0.7602415242557883,0.8016151915311579,0.4722850024700165,0.047768820601925666,0.050705016169213975,824.3333333333334
D 現行131列,T3,1163,0.7631270672546857,0.8001309614754992,0.47142842411994934,0.033839811367140524,0.043526868629246866,821.0
D' 131列−馬番ノイズ,T3,1163,0.7627566841234841,0.7913565426170468,0.4750504195690155,0.03831785444673935,0.028820856993534677,913.0
M 市場(確定人気),T3,1163,0.8163287279492834,0.8398177452799301,0.4129733145236969,0.03849316223885668,,0.0
A 騎手のみ,W1,886,0.6587154531801603,0.7527096764073848,0.5749433636665344,0.012045679929294117,0.09593112800208699,128.0
B 調教師のみ,W1,886,0.6788535429385032,0.705762866061205,0.6153872609138489,0.027539447175365682,0.14879405165795914,106.33333333333333
C 騎手+調教師,W1,886,0.696088757127161,0.7788025661537497,0.6787787079811096,0.05159097034207382,0.11880110210252273,109.66666666666667
E 新馬で使える情報,W1,886,0.716395883312854,0.7805279751541103,0.5511836409568787,0.029689637006472782,0.15498834167527578,809.0
D 現行131列,W1,886,0.7145234798098989,0.7785829686446128,0.5698029398918152,0.0314842701961053,0.12111657611548683,1274.3333333333333
D' 131列−馬番ノイズ,W1,886,0.7140293733299526,0.7770771571533889,0.5637207627296448,0.045043834842506035,0.12915275682947808,1060.0
M 市場(確定人気),W1,886,0.7820405297341577,0.8281806346368014,0.47840452194213867,0.018280147058725292,,0.0
A 騎手のみ,W2,297,0.6134460547504026,0.7059925093632958,0.6065338850021362,0.042341206009540486,0.13808360996874178,299.0
B 調教師のみ,W2,297,0.6308641975308642,0.6121722846441947,0.600498616695404,0.06960820353994465,0.10365856052201203,98.33333333333333
C 騎手+調教師,W2,297,0.6310252281266774,0.7072409488139826,0.6032805442810059,0.050559605311865756,0.11070520741703216,155.33333333333334
E 新馬で使える情報,W2,297,0.6485775630703168,0.7177278401997502,0.6469278335571289,0.07670256790237798,0.17011110376985444,232.33333333333334
D 現行131列,W2,297,0.6455179817498659,0.7162297128589263,0.5894779562950134,0.06726104909121387,0.1572351288389299,674.3333333333334
D' 131列−馬番ノイズ,W2,297,0.6403650026838432,0.6982521847690387,0.5949850082397461,0.07068277167952822,0.15419181045924188,564.0
M 市場(確定人気),W2,297,0.7842726784755771,0.8208489388264669,0.49852389097213745,0.04021008923549443,,0.0
