feat,spread_ex,spread_cf,hi_cf,lo_cf,rho,nbin
rl_f_speed_fig_max_vs_field,6.154794814407959,6.582978412931721,2.1900865969508834,-4.392891815980837,0.8181818181818182,10
rl_f_pl_rating,5.842026171114931,6.40132851019149,2.7664480039673887,-3.634880506224102,0.8666666666666665,10
f_pl_rating,4.745546699763809,6.01840275828744,3.2328961588077325,-2.7855065994797075,0.8303030303030302,10
rl_f_time_diff_vs_field,4.688590589471014,5.693430554684738,2.0759565702430685,-3.6174739844416695,0.6484848484848483,10
rl_f_pl_rating_rank,5.770848239120465,5.584918739820508,2.267497178769031,-3.3174215610514772,0.7212121212121211,10
f_weight_last_diff,5.21117098911577,5.335681883390169,3.7794849395213452,-1.5561969438688243,-0.406060606060606,10
rl_f_pl_rating_z,5.298480811705474,5.208936498088455,2.3102198746055063,-2.8987166234829487,0.9151515151515152,10
f_agari_ability,4.5847253842827875,5.099850345055074,2.204769504222885,-2.895080840832189,0.5515151515151515,10
rl_f_speed_fig_avg_vs_field,6.087758591731298,5.030024302100699,2.1075024262280877,-2.9225218758726115,0.7212121212121211,10
rl_f_recent_vs_field,5.020332400483883,4.959541336478846,1.9418858030363195,-3.0176555334425266,0.6606060606060605,10
rl_f_speed_fig_last_vs_field,5.112081351122968,4.802922494163033,1.7825428246799206,-3.0203796694831118,0.7818181818181817,10
rl_f_speed_fig_max_rank,4.533201897529694,4.721600254726042,1.6905387680818909,-3.031061486644151,0.5272727272727272,10
cl_f_blood_vs_field,6.348129267242173,4.50719559916261,3.0493717084098,-1.4578238907528096,0.2606060606060606,10
rl_f_speed_fig_avg_rank,5.928270321355313,4.470719937488261,2.195041732575664,-2.275678204912597,0.8424242424242423,10
f_last3_rank,2.464732214955064,4.437299071508015,2.2824600244271913,-2.154839047080824,0.22424242424242422,10
f_weight_trend_avg,3.783952792654848,4.430453339616795,3.1711488814197124,-1.2593044581970825,0.07878787878787878,10
f_pl_rating_n,2.5377815673416526,4.411555265547911,1.1181230309404728,-3.293432234607438,0.7939393939393938,10
f_career_runs,2.423395436013156,4.377529611672637,1.0840973770651987,-3.293432234607438,0.6166666666666666,9
f_course_coverage,5.862452202653046,4.361332977863798,2.05811084262668,-2.3032221352371183,0.3571428571428572,7
cl_f_jockey_rank,4.762162594523469,4.3545673637116655,1.7234311028076827,-2.6311362609039826,0.6969696969696969,10
f_competitive_best,3.1388810110408123,4.2160305052064615,1.3618032959589974,-2.854227209247464,0.41818181818181815,10
cl_f_jockey_vs_field,6.445223615973233,4.203007452383069,1.2637008566910768,-2.939306595691993,0.7454545454545454,10
rl_f_time_diff_rank,3.5639639720443546,4.171363892090573,1.5646613802138942,-2.6067025118766796,0.5878787878787878,10
f_perf_highpace,4.648970994676207,4.133941499138633,1.332893100472932,-2.801048398665701,-0.01818181818181818,10
f_p_mid,5.498402021452581,4.088359718335877,2.0251091224354973,-2.063250595900379,0.09999999999999999,9
f_trainer,2.440424464096541,4.07881050441702,2.1610839021103345,-1.9177266023066857,0.22424242424242422,10
f_recent,4.515487876848139,4.076274958565307,1.529102922199861,-2.547172036365446,0.7939393939393938,10
f_dist_confidence,2.907330689955638,4.023019242766637,2.187357217494274,-1.835662025272363,0.2121212121212121,10
cl_f_heavy_track_rank,2.902935510281792,3.9589217305765394,2.576657464922195,-1.3822642656543445,0.10303030303030303,10
f_p_back,2.549668302116976,3.9495958267564215,1.1089099237694415,-2.84068590298698,0.4666666666666666,9
f_agari_rank_at_type,4.792223428433587,3.925166585225506,2.0592898961819515,-1.8658766890435545,0.309090909090909,10
f_uphill_severity_rate,3.418013915937558,3.9171778464743223,2.0926516593977245,-1.8245261870765976,0.24848484848484845,10
f_post,1.8026462223146522,3.910762944483097,1.6117948751806217,-2.298968069302475,0.28484848484848485,10
f_perf_slowpace,3.0660954272972982,3.8970708105600136,2.241897244615513,-1.6551735659445006,0.5878787878787878,10
f_pos_std_3,3.263592562453541,3.874717838049375,0.8339445956825804,-3.040773242366795,0.28484848484848485,10
cl_f_heavy_track_vs_field,2.262197446205028,3.8159030866272836,2.0369698587153824,-1.778933227911901,0.006060606060606061,10
f_heavy_track_rate,4.079815336211074,3.7927236233117707,1.8033661193910286,-1.9893575039207418,0.7333333333333334,9
rl_f_recent_rank,3.1245417199891987,3.7371264944481966,1.3424095606480435,-2.394716933800153,0.6363636363636362,10
f_uphill_match,2.392216894885078,3.7082664985131304,2.561185032604842,-1.1470814659082884,0.28484848484848485,10
cl_f_trainer_vs_field,2.7076580064369,3.6359859311638627,1.40918108612978,-2.2268048450340827,0.4666666666666666,10
f_straight_match,2.5098976464502565,3.6353031281497894,1.39774169395714,-2.2375614341926493,0.0303030303030303,10
f_age,4.362352720441455,3.62113324130762,2.00623430990643,-1.6148989314011901,-0.30952380952380953,8
f_time_diff_avg,3.8780457593191544,3.5884251832844507,1.168904924960027,-2.4195202583244235,0.709090909090909,10
f_recent_fukusho,3.7340332875725424,3.5473488734051744,1.3320705274779319,-2.2152783459272425,0.41818181818181815,10
f_optimal_distance,2.652495573918188,3.5118160990203906,1.816301577720026,-1.6955145213003648,-0.24848484848484845,10
f_rl_rank,2.3718807757834655,3.4893918588962434,1.4863218540068406,-2.003070004889403,0.309090909090909,10
f_course_type_rate,2.8391173641921945,3.486579176439105,1.701032209477582,-1.7855469669615227,0.10303030303030303,10
rl_f_speed_fig_last_rank,3.1196301952308247,3.46332305238394,1.715266881395858,-1.7480561709880815,0.8666666666666665,10
rl_f_speed_last_rank,2.6992987565816606,3.3837027665069463,1.301718943297573,-2.0819838232093733,0.3696969696969697,10
f_jockey_rate,8.214040131560793,3.364399843768347,1.440308739411888,-1.9240911043564588,0.8545454545454544,10
f_jockey,8.214040131560793,3.364399843768347,1.440308739411888,-1.9240911043564588,0.8545454545454544,10
f_agari_at_similar,1.3983365088694493,3.3451533665513633,1.4290716574022484,-1.916081709149115,0.11666666666666665,9
cl_f_dist_fukusho_vs_field,3.8959593737606077,3.339054018392247,1.3923005449399726,-1.9467534734522742,0.12727272727272726,10
f_last2_rank,4.219752998277165,3.3302770766584464,1.4848685457147106,-1.8454085309437356,0.43030303030303024,10
cl_f_trainer_rank,2.3994713799700094,3.31800380046616,1.1324128125526538,-2.1855909879135065,0.49090909090909085,10
f_competitiveness,2.701090475465909,3.3124661123610446,1.230525637616669,-2.0819404747443753,-0.1515151515151515,10
rl_f_speed_last_vs_field,2.358142469985471,3.229909506913958,0.6686516335408068,-2.561257873373151,0.2121212121212121,10
f_speed_trend,3.0356432118186456,3.224344501039771,1.4499822488216882,-1.7743622522180824,0.10303030303030303,10
