drop,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
(なし),W2,42,131,0.7831272317314004,0.8022499548145136,0.4351988136768341,0.01402724209334901,0.1396455466747284,510
(なし),W1,42,131,0.769266974245738,0.7873195470606587,0.4551553726196289,0.015002764525891867,0.14747104048728943,1008
(なし),W1,7,131,0.7694338378145825,0.7885882651982816,0.4552043080329895,0.013010340391164823,0.1475452482700348,1264
(なし),W2,7,131,0.7808910129198379,0.7996689692437455,0.4391443729400635,0.018591478927262137,0.14046388864517212,665
(なし),W1,2026,131,0.7699775864022816,0.7880353779852342,0.4554201066493988,0.012621335339866034,0.14764650166034698,1551
(なし),W2,2026,131,0.7805686633429754,0.8001210594490382,0.4399101734161377,0.016899643567288035,0.14033426344394684,848
(なし),W3,42,131,0.8039630803321733,0.8000583984940561,0.41601690649986267,0.015204514986720269,0.132475808262825,1023
(なし),W3,2026,131,0.8034282739460108,0.7989981068993164,0.4171019196510315,0.013703399255728384,0.13284868001937866,990
(なし),W3,7,131,0.8032263504362006,0.7982213196216514,0.4157039523124695,0.011232647669748474,0.1327114999294281,1430
スピード能力,W1,42,104,0.7659080560699592,0.7835198492286424,0.45799627900123596,0.010838226205946981,0.14825645089149475,996
スピード能力,W2,42,104,0.7796668099538127,0.7959854107360717,0.4432726204395294,0.017281397191751882,0.140924334526062,681
スピード能力,W1,7,104,0.766605334069822,0.7849943284034506,0.45770108699798584,0.015627596226372407,0.14814813435077667,1207
スピード能力,W2,7,104,0.7805431804277818,0.7958644454234632,0.4432846009731293,0.015395240768730289,0.14041657745838165,470
スピード能力,W1,2026,104,0.7667185895787288,0.784593680570517,0.45642587542533875,0.013815405790099761,0.1479182094335556,1197
スピード能力,W2,2026,104,0.7799029454343824,0.795824437440694,0.44216105341911316,0.017458690226047117,0.14080870151519775,532
スピード能力,W3,7,104,0.7994266211682225,0.7923375743380332,0.4196450114250183,0.012639677636976189,0.13322466611862183,1144
スピード能力,W3,2026,104,0.7990869661760476,0.7923409695993154,0.41890424489974976,0.011516772784671878,0.13334934413433075,1324
スピード能力,W3,42,104,0.7983350705559088,0.7909207803086488,0.41777345538139343,0.0118540952631555,0.1332903355360031,1929
