win,arm,seed,n_val,n_races,auc,logloss,brier,ece,best_iter,n_feat
W0,M,0,2773,209,0.7534733215313978,0.5927423220001989,0.18202386667319317,0.1497748013150418,0,0
W0,R,42,2773,209,0.7689942045658924,0.5677371025085449,0.19004128873348236,0.19138155779789554,10,134
W0,R,7,2773,209,0.7676393601983439,0.5677605271339417,0.19019126892089844,0.19086644677341177,10,134
W0,R,2026,2773,209,0.7685668674779382,0.5677295923233032,0.19009457528591156,0.19182253886098857,10,134
W0,Fplus,42,2773,209,0.7534123795466808,0.5698011517524719,0.1950889229774475,0.19291863475751242,499,134
W0,Fplus,7,2773,209,0.7540901733279229,0.5702328681945801,0.1954551786184311,0.19440203394070454,499,134
W0,Fplus,2026,2773,209,0.7540797685988248,0.5695732831954956,0.19531333446502686,0.1933839104739157,499,134
W0,F,42,2773,209,0.7574650215303573,0.5644422173500061,0.1930127590894699,0.1904341413243514,499,131
W0,F,7,2773,209,0.7544283270236084,0.5668832659721375,0.19405178725719452,0.19164365605245287,499,131
W0,F,2026,2773,209,0.7583174661214589,0.5663852691650391,0.19381240010261536,0.193409696500782,499,131
W4,M,0,7399,519,0.7826743864308321,0.5453075575683426,0.1669888349500824,0.13961116577005597,0,0
W4,R,42,7399,519,0.8050233740112116,0.5169890522956848,0.17078670859336853,0.18554816443076858,10,134
W4,R,7,7399,519,0.8044681162487564,0.5175110101699829,0.17104747891426086,0.1862667073573852,10,134
W4,R,2026,7399,519,0.8051632049042898,0.5151949524879456,0.17010551691055298,0.18446236363068225,10,134
W4,Fplus,42,7399,519,0.7897146658596583,0.5263274312019348,0.1781603991985321,0.19041733612304024,499,134
W4,Fplus,7,7399,519,0.7897907624360487,0.5232318639755249,0.1770113855600357,0.18735091089759265,498,134
W4,Fplus,2026,7399,519,0.7894973098624021,0.5248345732688904,0.17766569554805756,0.18875938810630655,499,134
W4,F,42,7399,519,0.7880096080581275,0.5254414677619934,0.17764343321323395,0.18825247857615438,499,131
W4,F,7,7399,519,0.7890511696455866,0.5238850712776184,0.17687878012657166,0.18700476012321432,497,131
W4,F,2026,7399,519,0.7866501990378756,0.525306224822998,0.17762097716331482,0.18685965169715082,499,131
