only,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
スピード能力,W2,42,27,0.7359227354291202,0.7465249536848765,0.4627358317375183,0.019559998153294917,0.14943230152130127,656
スピード能力,W1,7,27,0.7212777175723828,0.7266721185129204,0.49378907680511475,0.012710036580104334,0.15739983320236206,833
スピード能力,W1,42,27,0.7214205593017109,0.7262558389579215,0.48909687995910645,0.019483653681992362,0.157049760222435,1011
スピード能力,W1,2026,27,0.7211710103897849,0.7256027048316294,0.48965907096862793,0.01726260819841091,0.15719875693321228,1032
スピード能力,W2,7,27,0.736515957234088,0.7476950695103399,0.46208426356315613,0.019886144617586244,0.14907801151275635,841
スピード能力,W2,2026,27,0.7362318785316856,0.7479957177337971,0.4624286890029907,0.01715340428021543,0.14940638840198517,956
スピード能力,W3,7,27,0.7573045853519326,0.7401859972634195,0.45493292808532715,0.01446429568785584,0.14264105260372162,1350
スピード能力,W3,42,27,0.7571915100940771,0.7395594502974976,0.45036402344703674,0.011571703682254974,0.14256492257118225,1371
スピード能力,W3,2026,27,0.7575532936900667,0.7403614595161171,0.4538668394088745,0.011966136086565672,0.14263539016246796,1092
近走成績,W1,42,22,0.7411869028045159,0.74733946391349,0.4757721424102783,0.00738064641740792,0.15361765027046204,918
近走成績,W1,7,22,0.7414437804132435,0.7467763820990956,0.4773719608783722,0.0063586456909206866,0.15355733036994934,681
近走成績,W1,2026,22,0.7416837613043451,0.7475501523413262,0.47839853167533875,0.011997702529173213,0.15350046753883362,661
近走成績,W2,42,22,0.7636294534881926,0.7716050167186299,0.4499133229255676,0.008277675226390703,0.14418573677539825,622
近走成績,W2,7,22,0.7637331987140985,0.7719170789842302,0.4533688724040985,0.011004141347095656,0.1442851424217224,778
近走成績,W2,2026,22,0.7637064602538136,0.7727859582335487,0.4526747465133667,0.009016299598138202,0.14450296759605408,762
近走成績,W3,42,22,0.7758064349979894,0.7616977664516172,0.4372880458831787,0.009621344870591879,0.13874772191047668,841
近走成績,W3,7,22,0.7758315204411069,0.7619856361046264,0.4375244677066803,0.009402744705004842,0.13888467848300934,792
近走成績,W3,2026,22,0.7759296207386222,0.761899541979253,0.44135409593582153,0.015093368218789835,0.13892632722854614,678
コース適性,W1,42,20,0.6999459169319361,0.7160741507727167,0.49283918738365173,0.011127811943678767,0.16090761125087738,620
コース適性,W1,7,20,0.7011136904806335,0.7167319574246263,0.492856502532959,0.012221756231574853,0.16073760390281677,759
コース適性,W1,2026,20,0.70254913110835,0.7179303328129556,0.49217259883880615,0.005673955522413238,0.1606234312057495,1065
コース適性,W2,42,20,0.7066051065157954,0.7171843934978086,0.4803314507007599,0.019824051217516903,0.15528351068496704,1711
コース適性,W2,7,20,0.7067560509368134,0.716682057972979,0.4804188907146454,0.017842050034008985,0.15524251759052277,1917
コース適性,W2,2026,20,0.7064198438622725,0.7171173212914013,0.48047754168510437,0.015380138582150083,0.1555338203907013,1396
コース適性,W3,42,20,0.7323777623555823,0.7181648176235401,0.46116670966148376,0.015467322218216648,0.1476891189813614,1771
ペース適性,W1,42,18,0.6674684916931258,0.6695398734646081,0.5064446330070496,0.011087153818078906,0.16549770534038544,806
コース適性,W3,7,20,0.7316363110549164,0.7181077044783981,0.4615730047225952,0.015137067633175306,0.147735595703125,1531
コース適性,W3,2026,20,0.7310729377858118,0.7161699803608386,0.461537629365921,0.01678309841985823,0.1477605253458023,1270
ペース適性,W1,7,18,0.6681020846749486,0.6704247648615199,0.505517303943634,0.011346950206020032,0.16520152986049652,543
ペース適性,W1,2026,18,0.667760723478091,0.669938397422261,0.5064325332641602,0.012568043389005822,0.16558825969696045,688
