win,period,race_id,field,p1,top3sum,resid,n_eff,ax_hit,top3_hits,rand3,cut5,cut10,cut15,cut20
T1,探索,20250301_06_01,15,0.5740876,1.3809576,1.1858945,7.991001,0,1,0.6,0,8,10,11
T1,探索,20250301_06_02,16,0.5462975,1.4694481,1.5729467,8.926254,1,2,0.5625,1,8,9,9
T1,探索,20250301_06_03,16,0.3968732,1.0582482,1.6496836,10.766966,1,1,0.5625,3,7,9,9
T1,探索,20250301_06_04,13,0.61088413,1.466338,1.3985395,8.023943,0,1,0.6923076923076923,2,6,6,6
T1,探索,20250301_06_05,18,0.42772695,1.1353387,1.9042879,12.362915,0,0,0.5,0,8,10,10
T1,探索,20250301_06_06,16,0.68656605,1.6713529,1.8089074,8.72097,1,1,0.5625,5,7,8,10
T1,探索,20250301_06_07,9,0.6379549,1.61027,1.1819264,6.5550337,1,2,1.0,1,2,2,2
T1,探索,20250301_06_08,16,0.6607405,1.1845613,1.4029242,8.638238,0,1,0.5625,1,9,10,10
T1,探索,20250301_06_09,13,0.72670937,1.7810233,1.618303,7.9436083,1,1,0.6923076923076923,1,5,5,5
T1,探索,20250301_06_10,16,0.42772695,1.2831808,1.8386074,10.389141,0,1,0.5625,1,6,8,9
T1,探索,20250301_06_11,15,0.47638798,1.2175089,2.083251,11.768811,1,1,0.6,1,3,3,3
T1,探索,20250301_06_12,14,0.52982384,1.5016353,1.6305535,7.838194,1,1,0.6428571428571429,3,7,7,7
T1,探索,20250301_09_01,12,0.44732144,1.3027754,1.4270865,8.205051,0,1,0.75,1,4,5,6
T1,探索,20250301_09_02,16,0.7836538,1.7743983,1.4860742,7.4366093,1,2,0.5625,5,9,10,10
T1,探索,20250301_09_03,16,0.76143163,1.7922692,1.4961795,7.642164,1,2,0.5625,3,9,10,10
T1,探索,20250301_09_04,16,0.5244901,1.4963017,1.660717,9.25347,1,2,0.5625,5,7,7,7
T1,探索,20250301_09_05,18,0.5315333,1.4356482,1.9400859,9.696755,1,1,0.5,4,9,9,10
T1,探索,20250301_09_06,16,0.52982384,1.4820409,1.7402201,8.852497,1,2,0.5625,4,7,8,9
T1,探索,20250301_09_07,16,0.76143163,1.6052933,1.8759352,9.319899,0,1,0.5625,3,6,6,8
T1,探索,20250301_09_08,10,0.5315333,1.4052821,1.1034738,6.954838,1,2,0.9,0,4,4,4
T1,探索,20250301_09_09,8,0.52982384,1.437442,1.4533384,7.0908904,1,2,1.125,0,0,0,1
T1,探索,20250301_09_10,10,0.52982384,1.4605131,1.5419902,7.6386137,1,3,0.9,0,2,2,2
T1,探索,20250301_09_11,16,0.4893631,1.1119251,1.6872226,10.797334,0,1,0.5625,2,7,8,8
T1,探索,20250301_09_12,15,0.44732144,1.3027754,1.6984618,9.751591,0,0,0.6,3,7,7,7
T1,探索,20250301_10_01,16,0.5244901,1.5099009,1.9455698,9.3095875,0,1,0.5625,3,7,7,7
T1,探索,20250301_10_02,18,0.7836538,1.7358708,1.5445657,8.08786,1,2,0.5,4,11,11,12
T1,探索,20250301_10_03,14,0.52982384,1.3736855,1.5676193,9.550372,1,2,0.6428571428571429,0,4,6,7
T1,探索,20250301_10_04,12,0.72670937,1.5821633,1.7336342,8.084349,0,2,0.75,0,4,4,5
T1,探索,20250301_10_05,11,0.52982384,1.4646404,1.4650385,8.354701,1,1,0.8181818181818182,0,2,2,2
T1,探索,20250301_10_06,18,0.42772695,1.0248306,1.8125737,11.951303,0,1,0.5,3,7,10,10
T1,探索,20250301_10_07,15,0.6487455,1.5705155,1.2588687,7.6066103,1,3,0.6,4,9,9,9
T1,探索,20250301_10_08,8,0.5332302,1.4613608,0.6466604,5.385911,1,2,1.125,0,2,3,4
T1,探索,20250301_10_09,16,0.5315333,1.4201809,1.8802025,9.192611,1,2,0.5625,3,8,9,9
T1,探索,20250301_10_10,18,0.42772695,1.1930196,1.9884808,12.142587,0,1,0.5,2,7,9,11
T1,探索,20250301_10_11,15,0.66957885,1.6217959,1.7365102,8.516617,0,1,0.6,2,7,7,7
T1,探索,20250301_10_12,18,0.42772695,1.1258544,1.8780626,12.442349,0,0,0.5,1,6,10,11
T1,探索,20250302_06_01,16,0.5462975,1.4673278,1.78068,9.719067,1,2,0.5625,3,6,7,7
T1,探索,20250302_06_02,16,0.42772695,1.1715913,1.4034964,9.918568,0,1,0.5625,3,8,10,10
T1,探索,20250302_06_03,8,0.5445881,1.4968052,0.67174697,5.4480133,0,2,1.125,0,3,3,3
T1,探索,20250302_06_04,16,0.42772695,1.1928467,1.6482655,10.377682,1,1,0.5625,3,7,8,8
T1,探索,20250302_06_05,18,0.5445881,1.448703,1.6129978,8.71671,1,2,0.5,7,11,11,11
T1,探索,20250302_06_06,16,0.42772695,1.2238734,1.9180576,11.21806,0,2,0.5625,3,5,6,7
T1,探索,20250302_06_07,8,0.72670937,1.7810233,1.0395949,5.4461446,1,2,1.125,1,3,3,3
T1,探索,20250302_06_08,16,0.7836538,1.6391077,1.7309908,8.088254,0,0,0.5625,3,7,9,9
T1,探索,20250302_06_09,11,0.72670937,1.6017578,1.6920738,8.025107,0,0,0.8181818181818182,0,2,2,2
T1,探索,20250302_06_10,15,0.48998722,1.3941022,1.4599786,9.181643,0,2,0.6,2,7,8,9
T1,探索,20250302_06_11,16,0.5315333,1.3856876,1.8094397,10.049941,1,1,0.5625,2,6,8,8
T1,探索,20250302_06_12,16,0.52982384,1.378296,1.5648944,9.551224,1,1,0.5625,2,7,9,10
T1,探索,20250302_09_01,12,0.70088387,1.7770052,1.4565547,7.2717977,1,2,0.75,3,4,5,5
T1,探索,20250302_09_02,16,0.5244901,1.419133,1.9751753,9.076574,0,1,0.5625,5,8,8,8
T1,探索,20250302_09_03,12,0.7569685,1.7136227,1.5641274,7.6999865,1,2,0.75,1,3,3,4
T1,探索,20250302_09_04,16,0.42772695,1.2519941,2.0069032,10.592074,0,1,0.5625,3,6,7,7
T1,探索,20250302_09_05,18,0.5244901,1.3729469,1.7659893,10.168722,1,1,0.5,3,8,11,11
T1,探索,20250302_09_06,16,0.46029663,1.2255894,1.684478,10.231445,0,1,0.5625,1,7,9,9
T1,探索,20250302_09_07,16,0.52982384,1.4820409,1.8588582,9.572448,0,1,0.5625,2,7,7,8
T1,探索,20250302_09_08,14,0.5244901,1.5308046,1.25367,8.016203,0,1,0.6428571428571429,1,6,8,8
T1,探索,20250302_09_09,9,0.72670937,1.7818375,1.4445417,6.8714643,1,2,1.0,0,1,1,1
T1,探索,20250302_09_10,10,0.52982384,1.5307019,1.2954346,6.9336495,1,3,0.9,0,3,4,4
T1,探索,20250302_09_11,14,0.47638798,1.2416807,1.715616,10.322433,0,0,0.6428571428571429,1,4,5,6
T1,探索,20250302_09_12,16,0.42772695,1.2831808,2.368327,10.872697,0,2,0.5625,4,6,6,6
T1,探索,20250302_10_01,16,0.72670937,1.8837531,1.5254363,7.7141533,1,2,0.5625,2,8,8,9
T1,探索,20250302_10_02,18,0.5244901,1.2744403,1.8182484,10.588651,1,2,0.5,3,9,9,10
T1,探索,20250302_10_03,14,0.52982384,1.4684417,1.636165,9.485183,1,2,0.6428571428571429,1,4,5,6
T1,探索,20250302_10_04,10,0.9637718,1.8192258,1.4380486,6.391239,1,2,0.9,0,1,3,4
T1,探索,20250302_10_05,16,0.5244901,1.3799441,1.8839083,9.408201,1,2,0.5625,3,8,8,8
T1,探索,20250302_10_06,18,0.5445881,1.205963,1.6857753,10.427999,1,1,0.5,4,9,11,11
T1,探索,20250302_10_07,8,0.5244901,1.2440459,0.7802479,5.879637,0,1,1.125,0,2,3,3
T1,探索,20250302_10_08,14,0.47031888,1.3602757,1.6628165,9.2648325,1,2,0.6428571428571429,1,5,7,7
T1,探索,20250302_10_09,18,0.52982384,1.2601045,1.793353,10.676208,1,2,0.5,4,9,10,10
T1,探索,20250302_10_10,16,0.42772695,1.1645659,2.1437213,11.365843,1,2,0.5625,3,5,6,6
T1,探索,20250302_10_11,13,0.47638798,1.2066687,1.6607949,9.591999,1,1,0.6923076923076923,2,4,4,4
T1,探索,20250302_10_12,16,0.5244901,1.3794649,2.0799289,10.416061,0,0,0.5625,3,5,7,9
T1,探索,20250308_06_01,16,0.717871,1.8454717,1.3407178,7.4200034,0,1,0.5625,4,8,10,10
T1,探索,20250308_06_02,16,0.6777277,1.5331817,1.6415569,8.3334465,1,3,0.5625,5,8,8,8
T1,探索,20250308_06_03,16,0.7836538,1.832634,1.1401438,6.744377,1,2,0.5625,3,10,11,11
T1,探索,20250308_06_04,9,0.7097222,1.6325191,1.1273319,6.3805,1,1,1.0,0,1,2,3
T1,探索,20250308_06_05,15,0.72670937,1.6789265,1.7896376,8.045797,1,2,0.6,5,7,7,7
T1,探索,20250308_06_06,16,0.6166667,1.5688838,2.1534367,9.714365,1,2,0.5625,3,6,7,7
T1,探索,20250308_06_07,10,0.5492737,1.1895663,1.1927453,7.569205,0,1,0.9,0,2,2,2
T1,探索,20250308_06_08,16,0.5310617,1.3865156,1.6609982,9.99193,0,2,0.5625,2,7,8,8
T1,探索,20250308_06_09,10,0.74893165,1.7260768,1.17203,6.2914314,1,3,0.9,1,4,4,4
T1,探索,20250308_06_10,16,0.42772695,1.2831808,1.7895131,10.745825,0,1,0.5625,2,6,7,7
T1,探索,20250308_06_11,14,0.5244901,1.4131378,1.3288834,8.432538,1,2,0.6428571428571429,2,7,8,8
T1,探索,20250308_06_12,16,0.6607405,1.5218506,1.744754,8.9644985,1,1,0.5625,3,7,7,7
T1,探索,20250308_09_01,16,0.52982384,1.2268901,1.8355556,10.792065,1,1,0.5625,1,6,6,8
T1,探索,20250308_09_02,12,0.68656605,1.6387832,1.3756375,7.244548,1,2,0.75,1,4,5,5
T1,探索,20250308_09_03,16,0.78458357,1.8276033,1.6372763,7.684985,0,2,0.5625,5,7,8,8
T1,探索,20250308_09_04,12,0.50083953,1.3562934,1.5894547,9.216936,0,1,0.75,0,2,3,3
T1,探索,20250308_09_05,8,0.5244901,1.0867548,0.94683135,6.461684,1,2,1.125,1,1,1,1
T1,探索,20250308_09_06,10,0.9717042,2.0260181,1.1797494,5.7174997,1,3,0.9,0,3,4,5
T1,探索,20250308_09_07,10,0.52982384,1.5307019,1.3831093,7.3245797,0,0,0.9,0,2,4,4
T1,探索,20250308_09_08,16,0.5244901,1.4767072,1.8487363,10.115093,1,1,0.5625,2,6,6,8
